time,open,high,low,close,tick_volume,spread,real_volume
2025-03-13 16:05:00+00:00,3.8566000000000003,3.8576,3.85481,3.8554,652,350,0
2025-03-13 16:10:00+00:00,3.85535,3.8571999999999997,3.8533,3.85445,767,350,0
2025-03-13 16:15:00+00:00,3.8545,3.8546,3.8508,3.85144,810,350,0
2025-03-13 16:20:00+00:00,3.85144,3.8546,3.85144,3.8535500000000003,462,350,0
2025-03-13 16:25:00+00:00,3.8535500000000003,3.8538,3.85005,3.85195,541,350,0
2025-03-13 16:30:00+00:00,3.85195,3.8543,3.85145,3.85345,599,350,0
2025-03-13 16:35:00+00:00,3.85345,3.8543,3.8515,3.8517,561,350,0
2025-03-13 16:40:00+00:00,3.8517,3.8533,3.8501,3.85055,609,350,0
2025-03-13 16:45:00+00:00,3.85065,3.8516,3.84925,3.85,493,350,0
2025-03-13 16:50:00+00:00,3.8499499999999998,3.8515,3.84895,3.84895,492,350,0
2025-03-13 16:55:00+00:00,3.84895,3.85066,3.84845,3.85066,478,350,0
2025-03-13 17:00:00+00:00,3.85061,3.8512399999999998,3.84991,3.8503,435,350,0
2025-03-13 17:05:00+00:00,3.85035,3.85267,3.8496,3.85215,475,350,0
2025-03-13 17:10:00+00:00,3.85216,3.85285,3.85045,3.85235,483,350,0
2025-03-13 17:15:00+00:00,3.85235,3.85275,3.8505000000000003,3.8521,514,350,0
2025-03-13 17:20:00+00:00,3.8521,3.8535,3.8521,3.8525,543,350,0
2025-03-13 17:25:00+00:00,3.85245,3.8535,3.8506,3.8526,579,350,0
2025-03-13 17:30:00+00:00,3.8526,3.85275,3.8498,3.8514,538,350,0
2025-03-13 17:35:00+00:00,3.8514,3.8534,3.8506,3.8524000000000003,521,350,0
2025-03-13 17:40:00+00:00,3.8524000000000003,3.8552999999999997,3.8515,3.8523300000000003,799,350,0
2025-03-13 17:45:00+00:00,3.8523300000000003,3.8523300000000003,3.8478,3.8491,873,350,0
2025-03-13 17:50:00+00:00,3.84885,3.85375,3.8486000000000002,3.8531,652,350,0
2025-03-13 17:55:00+00:00,3.8531,3.8555,3.8529999999999998,3.85495,906,350,0
2025-03-13 18:00:00+00:00,3.8546,3.85593,3.85425,3.85554,563,350,0
2025-03-13 18:05:00+00:00,3.85549,3.85603,3.8545,3.8547000000000002,373,350,0
2025-03-13 18:10:00+00:00,3.85465,3.8554,3.85391,3.8542,432,350,0
2025-03-13 18:15:00+00:00,3.854,3.85435,3.8517,3.8519,491,350,0
2025-03-13 18:20:00+00:00,3.8519,3.8533,3.8518499999999998,3.8526,508,350,0
2025-03-13 18:25:00+00:00,3.8526,3.85373,3.8519,3.8536,512,350,0
2025-03-13 18:30:00+00:00,3.85365,3.8543,3.8523,3.85299,586,350,0
2025-03-13 18:35:00+00:00,3.8528000000000002,3.85285,3.8493399999999998,3.84945,574,350,0
2025-03-13 18:40:00+00:00,3.84945,3.8497,3.8473,3.84965,506,350,0
2025-03-13 18:45:00+00:00,3.84965,3.8532,3.84965,3.8529999999999998,661,350,0
2025-03-13 18:50:00+00:00,3.85305,3.8533,3.84815,3.8481899999999998,590,350,0
2025-03-13 18:55:00+00:00,3.8481899999999998,3.84958,3.84749,3.84897,337,350,0
2025-03-13 19:00:00+00:00,3.84897,3.85121,3.84842,3.85074,495,350,0
2025-03-13 19:05:00+00:00,3.85069,3.8530100000000003,3.85064,3.85215,658,350,0
2025-03-13 19:10:00+00:00,3.8522,3.85432,3.8517900000000003,3.854,689,350,0
2025-03-13 19:15:00+00:00,3.854,3.85757,3.8535500000000003,3.8571999999999997,1374,350,0
2025-03-13 19:20:00+00:00,3.8571999999999997,3.8578200000000002,3.85685,3.8573,529,350,0
2025-03-13 19:25:00+00:00,3.85725,3.85746,3.85466,3.8553699999999997,321,350,0
2025-03-13 19:30:00+00:00,3.8554,3.8554,3.85252,3.8537,326,350,0
2025-03-13 19:35:00+00:00,3.8537,3.854,3.8522,3.8528599999999997,367,350,0
2025-03-13 19:40:00+00:00,3.85281,3.85299,3.85155,3.8527,399,350,0
2025-03-13 19:45:00+00:00,3.8527,3.85321,3.85203,3.85296,263,350,0
2025-03-13 19:50:00+00:00,3.85284,3.85337,3.85214,3.8524599999999998,289,350,0
2025-03-13 19:55:00+00:00,3.85251,3.85501,3.85141,3.85496,331,350,0
2025-03-13 20:00:00+00:00,3.85501,3.8552400000000002,3.85377,3.85453,313,350,0
2025-03-13 20:05:00+00:00,3.85453,3.85505,3.85356,3.85358,557,350,0
2025-03-13 20:10:00+00:00,3.85358,3.85473,3.85309,3.8540200000000002,292,350,0
2025-03-13 20:15:00+00:00,3.8540200000000002,3.8548299999999998,3.85376,3.85442,461,350,0
2025-03-13 20:20:00+00:00,3.85442,3.85448,3.85343,3.8543,221,350,0
2025-03-13 20:25:00+00:00,3.8543,3.85494,3.85375,3.85395,240,350,0
2025-03-13 20:30:00+00:00,3.85395,3.8548,3.85335,3.8547700000000003,199,350,0
2025-03-13 20:35:00+00:00,3.8547700000000003,3.8554,3.8545,3.85526,267,350,0
2025-03-13 20:40:00+00:00,3.85526,3.85575,3.85445,3.8548299999999998,327,350,0
2025-03-13 20:45:00+00:00,3.8548299999999998,3.855,3.8536,3.85438,192,350,0
2025-03-13 20:50:00+00:00,3.85438,3.85556,3.8538,3.85505,239,350,0
2025-03-13 20:55:00+00:00,3.85505,3.8556,3.85433,3.85493,300,350,0
2025-03-13 21:00:00+00:00,3.85493,3.85498,3.8538,3.85425,300,350,0
2025-03-13 21:05:00+00:00,3.85425,3.8548999999999998,3.85405,3.8542,225,350,0
2025-03-13 21:10:00+00:00,3.8541499999999997,3.8543,3.85278,3.8534,202,350,0
2025-03-13 21:15:00+00:00,3.8534,3.85424,3.85323,3.8537,169,350,0
2025-03-13 21:20:00+00:00,3.85375,3.85471,3.8536,3.8545,149,350,0
2025-03-13 21:25:00+00:00,3.85445,3.85615,3.8542,3.85455,367,350,0
2025-03-13 21:30:00+00:00,3.8545,3.8548,3.8535,3.85411,409,350,0
2025-03-13 21:35:00+00:00,3.85411,3.8564,3.85365,3.8557,362,350,0
2025-03-13 21:40:00+00:00,3.8557,3.8560499999999998,3.85435,3.85435,310,350,0
2025-03-13 21:45:00+00:00,3.85435,3.855,3.8541,3.8542199999999998,226,350,0
2025-03-13 21:50:00+00:00,3.8542199999999998,3.8542199999999998,3.85242,3.85254,309,350,0
2025-03-13 21:55:00+00:00,3.85254,3.8548999999999998,3.8512,3.85385,469,350,0
2025-03-13 22:00:00+00:00,3.85385,3.85425,3.85196,3.8534,128,350,0
2025-03-13 22:05:00+00:00,3.8534,3.8537,3.85196,3.8523,108,350,0
2025-03-13 22:10:00+00:00,3.85235,3.85255,3.8514,3.85145,88,350,0
2025-03-13 22:15:00+00:00,3.851,3.8521900000000002,3.851,3.85193,117,350,0
2025-03-13 22:20:00+00:00,3.85198,3.85391,3.85168,3.85391,72,350,0
2025-03-13 22:25:00+00:00,3.85391,3.85517,3.8539,3.85431,125,350,0
2025-03-13 22:30:00+00:00,3.85431,3.85445,3.85105,3.85198,148,350,0
2025-03-13 22:35:00+00:00,3.85215,3.85297,3.8517,3.8519,129,350,0
2025-03-13 22:40:00+00:00,3.85189,3.85205,3.85046,3.85046,85,350,0
2025-03-13 22:45:00+00:00,3.85046,3.85069,3.84985,3.85023,130,350,0
2025-03-13 22:50:00+00:00,3.85033,3.85067,3.84938,3.84985,132,350,0
2025-03-13 22:55:00+00:00,3.8498,3.85289,3.84671,3.8499,579,350,0
2025-03-13 23:00:00+00:00,3.8499,3.85994,3.8406000000000002,3.85994,36,350,0
2025-03-13 23:05:00+00:00,3.8497,3.85872,3.8497,3.8503600000000002,41,350,0
2025-03-13 23:10:00+00:00,3.8507,3.85827,3.8503600000000002,3.8578900000000003,43,350,0
2025-03-13 23:15:00+00:00,3.8519,3.85797,3.8515,3.8523,43,350,0
2025-03-13 23:20:00+00:00,3.8523,3.85748,3.8523,3.8524000000000003,30,350,0
2025-03-13 23:25:00+00:00,3.85779,3.85783,3.852,3.8521,34,350,0
