symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,entry_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
GBPUSD,long,2025-02-07 18:15:00+00:00,2025-02-07 19:15:00+00:00,1.24123,1.2375780793190863,0.137,-0.0036519206809138005,auto,__resistance,auto,,,,,,,-0.0036519206809138005,-40.30785054221946,9644.037116004047
GBPUSD,long,2025-02-07 19:25:00+00:00,2025-02-11 01:15:00+00:00,1.23949,1.2360531621311255,0.145,-0.0034368378688744983,auto,__resistance,auto,,,,,,,-0.0034368378688744983,-40.20536599624057,9603.831750007806
GBPUSD,long,2025-02-11 01:55:00+00:00,2025-02-11 04:30:00+00:00,1.2359,1.2350708209917398,0.603,-0.0008291790082601835,auto,__resistance,auto,,,,,,,-0.0008291790082601835,-40.45593834298007,9563.375811664826
GBPUSD,long,2025-02-11 06:50:00+00:00,2025-02-11 09:10:00+00:00,1.23592,1.234960709577662,0.521,-0.0009592904223378884,auto,__resistance,auto,,,,,,,-0.0009592904223378884,-40.43872661968735,9522.937085045138
GBPUSD,long,2025-02-11 10:10:00+00:00,2025-02-11 15:05:00+00:00,1.23463,1.23852,0.131,0.0028979230611603235,RR_1:4,__resistance,RR_1:4,1.23746,2025-02-11 11:10:00+00:00,RR_1:2,"{'level': 1.2384416922446408, 'tag': 'RR_1:4'}",2025-02-11 15:05:00+00:00,0.00037073000000001447,0.0028979230611603235,30.74831496172962,9553.685400006867
GBPUSD,short,2025-02-12 04:50:00+00:00,2025-02-12 05:15:00+00:00,1.24547,1.2454666688747444,0.3695,0.00034002258814802566,auto,__support,auto,1.24505,2025-02-12 05:00:00+00:00,RR_1:2,,,0.00015519000000003213,0.00034002258814802566,10.087625259596415,9563.773025266464
GBPUSD,short,2025-02-12 05:25:00+00:00,2025-02-12 09:25:00+00:00,1.24509,1.2450870854668818,0.2345,0.0005342334124684989,auto,__support,auto,1.24414,2025-02-12 07:00:00+00:00,RR_1:2,,,0.0002227750000000015,0.0005342334124684989,10.061741337884246,9573.834766604348
GBPUSD,short,2025-02-12 10:15:00+00:00,2025-02-12 13:20:00+00:00,1.24568,1.2456750674268413,0.19,0.000659823860941211,auto,__support,auto,1.24421,2025-02-12 11:00:00+00:00,RR_1:2,,,0.00027929999999997345,0.000659823860941211,10.06410423052711,9583.898870834875
GBPUSD,short,2025-02-12 14:40:00+00:00,2025-02-12 15:40:00+00:00,1.24558,1.23874,0.2595,0.0039017938089795923,RR_1:4,__support,RR_1:4,1.24426,2025-02-12 15:10:00+00:00,RR_1:2,"{'level': 1.2436528247640815, 'tag': 'RR_1:4'}",2025-02-12 15:40:00+00:00,0.00034253999999999687,0.0039017938089795923,81.28867623357829,9665.187547068454
GBPUSD,short,2025-02-12 20:20:00+00:00,2025-02-13 05:15:00+00:00,1.24677,1.2467627693976493,0.105,0.0011959464664611508,auto,__support,auto,1.24449,2025-02-12 21:00:00+00:00,RR_1:2,,,0.00023939999999998294,0.0011959464664611508,10.071976305045904,9675.2595233735
